id_ejecucion_actividad;fk_numero_actividad;fk_id_user;fk_id_responsable;fk_id_mes;programado;ejecutado;descripcion_actividades;evidencias
;1;1;1;1;201;201;ENERO: se realizaron 9 actividades, vinculando un total de 201 ciudadanos.;listas de asistencia
;1;1;1;2;660;666;FEBRERO: Se realizaron 22 actividades vinculando un total de 666 ciudadanos.;listas de asistencia
;1;1;1;3;765;765;MARZO: Se realizaron 30 actividades vinculando un total de 765 ciudadanos;listas de asistencia
;1;1;1;4;660;0;;
;1;1;1;5;660;0;;
;1;1;1;6;660;0;;
;1;1;1;7;650;0;;
;1;1;1;8;660;0;;
;1;1;1;9;660;0;;
;1;1;1;10;660;0;;
;1;1;1;11;600;0;;
;1;1;1;12;164;0;;
;2;1;1;1;8;5;ENERO: Durante el mes de enero se realizaron 5 actividades presenciales y virtuales en el marco de la agenda cultural y académica, vinculando un total de 1.227 ciudadanos. 1. Taller Arte al Natural para Niños: Macetas para Suculentas 2. Lecturas de Ambiente: El León y Los Escarabajos Estercoleros 3. Lecturas de Ambiente: Los Secretos del Abuelo Sapo 4. Exposición de biodiversario (PRESENCIAL) 5. Taller de expresión corporal (PRESENCIAL);listas de asistencia Registro de actividades virtuales
;2;1;1;2;12;11;FEBRERO: Se realizaron 11 actividades vinculando a 3027 ciudadanos 1. De naturaleza emprendedora. Los hidrolatos botánicos. 2. De naturaleza emprendedora. 3. El taller del artista. 4. Letras vivas. 5. Taller arte al natural. 6. El taller del Artista 7. Taller arte al natural. 8. taller al natural. 9. sinfonías naturales (ORQUESTA SINFONICA DE BTÁ). 10. taller arte al natural. 11. jardín de noche.;listas de asistencia Registro de actividades virtuales
;2;1;1;3;20;24;MARZO: Se realizaron 8 actividades vinculando un total de 4614 ciudadanos. 1. Taller Arte al Natural para Niños: Alcancías. 2. Taller arte al natural Pulsera. 3. PICNIC LITERARIO (8 actividades para todo tipo de público). 4. Jornada Cultural Jardín de Noche (9 actividades para todo tipo de público) 5.Inmersión sonora. 6. Actividades apoyadas en territorio. 7. Actividades apoyadas en territorio 8. Sketch teatral apoyo equipo de participación en territorio. Redes de AUP;listas de asistencia Registro de actividades virtuales
;2;1;1;4;20;0;;
;2;1;1;5;20;0;;
;2;1;1;6;20;0;;
;2;1;1;7;20;0;;
;2;1;1;8;20;0;;
;2;1;1;9;20;0;;
;2;1;1;10;20;0;;
;2;1;1;11;20;0;;
;2;1;1;12;20;0;;
;3;1;1;1;1227;1227;ENERO: Durante el mes de enero se realizaron 5 actividades presenciales y virtuales en el marco de la agenda cultural y académica, vinculando un total de 1.227 ciudadanos.;listas de asistencia Registro de actividades virtuales
;3;1;1;2;3027;3027;FEBRERO: Se vincularon 3.027 ciudadanos en 11 actividades presenciales y virtuales ;listas de asistencia Registro de actividades virtuales
;3;1;1;3;4614;4614;MARZO: Se vincularon 4.614 ciudadanos en 8 actividades presenciales y virtuales. No se logro el cumplimiento de la meta programada para el tercer trimestre, teniendo en cuenta.;listas de asistencia Registro de actividades virtuales
;3;1;1;4;10500;0;;
;3;1;1;5;10500;0;;
;3;1;1;6;20000;0;;
;3;1;1;7;10500;0;;
;3;1;1;8;10500;0;;
;3;1;1;9;20000;0;;
;3;1;1;10;10000;0;;
;3;1;1;11;10000;0;;
;3;1;1;12;15151;0;;
;4;1;1;1;100;100;ENERO: Se realizaron actividades encaminadas a la corresponsabilidad ciudadana ambiental con el seguimiento a las redes de cuidadores por el entorno ambiental en las localidades de candelaria, Rafael Uribe y Santafé. ;Actas de reunión y listas de asistencia
;4;1;1;2;100;100;FEBRERO: Se realizaron actividades encaminadas a la corresponsabilidad ciudadana ambiental con la jornada de replantando confianza en Fontibón y las dos redes constituidas en Teusaquillo y Engativá.;Actas de reunión y listas de asistencia
;4;1;1;3;100;100;MARZO: Se realizaron actividades encaminadas a la corresponsabilidad ciudadana ambiental con la jornada de replantando confianza en suba y las dos redes constituidas en Teusaquillo y candelaria.;Actas de reunión y listas de asistencia
;4;1;1;4;100;0;;
;4;1;1;5;100;0;;
;4;1;1;6;100;0;;
;4;1;1;7;100;0;;
;4;1;1;8;100;0;;
;4;1;1;9;100;0;;
;4;1;1;10;100;0;;
;4;1;1;11;100;0;;
;4;1;1;12;100;0;;
;5;1;1;1;250;578;ENERO: Se realizaron 49 actividades de participación en territorio ( diálogos sociales, acompañamiento a plantaciones, actividades con redes de cuidadores y agricultores urbanos, formación ambiental, entre otros), vinculando 578 ciudadanos.;Listas de asistencia Reporte de personas participación
;5;1;1;2;7000;4448;FEBRERO: se realizaron 202 actividades de participación en territorio ( diálogos sociales, acompañamiento a plantaciones, actividades con redes de cuidadores y agricultores urbanos, formación ambiental, entre otros), vinculando 4.448 ciudadanos.;Listas de asistencia Reporte de personas participación
;5;1;1;3;12000;12028;MARZO: se realizaron 257 actividades de participación en territorio ( diálogos sociales, acompañamiento a plantaciones, actividades con redes de cuidadores y agricultores urbanos, formación ambiental, entre otros), vinculando 12028 ciudadanos.;Listas de asistencia Reporte de personas participación
;5;1;1;4;13000;0;;
;5;1;1;5;14000;0;;
;5;1;1;6;14000;0;;
;5;1;1;7;14000;0;;
;5;1;1;8;14000;0;;
;5;1;1;9;14000;0;;
;5;1;1;10;13500;0;;
;5;1;1;11;12000;0;;
;5;1;1;12;5914;0;;
;6;1;1;1;217796;218151;ENERO: En total se vincularon 218.151, distribuidas de la siguiente manera: EA programadas 19, EA no programadas 225, asistentes al evento PACIFICANTO, Prácticas verdes presenciales 4, tejiendo palabra 5. Es de resaltar que del 1 al 16 de enero se continúo con el evento Pacificanto, el cual tuvo gran acogida por parte de la ciudadanía no solo local sino también de otras ciudades, lo que influyó en el aumento de número de actividades frente a otros meses. Esta exposición permitió, generar una profunda reflexión frente a la problemática de los océanos y la incidencia de las ciudades en esta. También se llevó a cabo la semana de la educación ambiental, la cual tuvo un pool de actividades dentro y fuera del jardín, presencial y virtualmente, esta semana contó con invitados principalmente que están trabajando desde el territorio en acciones que generan cambios sustanciales en la forma como las comunidades abordan las problemáticas ambientales. Esto permitió que las diferentes actividades tuvieran un buen número de participantes. Situación que se ve reflejada en alto número de actividades y de personas atendidas.;Listas de asistencia, Registro de acciones de educación ambiental presenciales, Reporte de Actividades Virtuales
;6;1;1;2;2556;2556;FEBRERO: En total se realizaron 171 actividades, distribuidas de la siguiente manera: EA programadas 18, EA no programadas 138, Prácticas verdes presenciales 15, Experiencia ambiental virtual 1. Se vincularon a 2.130 ciudadanos.;Listas de asistencia, Registro de acciones de educación ambiental presenciales, Reporte de Actividades Virtuales
;6;1;1;3;3998;3998;MARZO: En total se realizaron 237 actividades, distribuidas de la siguiente manera: EA programadas 54, EA no programadas 171 , Prácticas verdes presenciales 11 y 1 tejiendo palabra. Se vincularon 3.896 ciudadanos. Adicionalmente, en los meses de febrero y marzo se vinculan ciudadanos a la socializaciones realizadas por las herramientas de comunicación educativa con un total de 528 personas;Listas de asistencia, Registro de acciones de educación ambiental presenciales, Reporte de Actividades Virtuales
;6;1;1;4;5100;0;;
;6;1;1;5;6100;0;;
;6;1;1;6;6600;0;;
;6;1;1;7;6600;0;;
;6;1;1;8;6100;0;;
;6;1;1;9;6100;0;;
;6;1;1;10;6100;0;;
;6;1;1;11;4100;0;;
;6;1;1;12;4501;0;;
